,Pick,Team,Name,College,Seasons,Games,Minutes Played,Points,Total Rebounds,Assists,FG%,3P%,FT%,MPG,PPG,TRPG,APG,Win Share,Win Share/48,Box +/-,VORP
749,15,BOS,Al Jefferson\jeffeal01,,13,879,25815,14091,7547,1317,.499,.127,.709,29.4,16.0,8.6,1.5,69.4,.129,0.3,14.9
750,16,UTA,Kirk Snyder\snydeki01,University of Nevada Reno,4,211,3540,1333,491,241,.438,.327,.699,16.8,6.3,2.3,1.1,4.5,.061,-2.0,0.0
751,17,ATL,Josh Smith\smithjo03,,12,891,28988,12994,6649,2789,.453,.285,.632,32.5,14.6,7.5,3.1,51.0,.085,2.1,30.0
752,18,NOH,J.R. Smith\smithjr01,,13,875,23568,11363,2798,1900,.421,.375,.733,26.9,13.0,3.2,2.2,45.2,.092,0.4,14.6
753,19,MIA,Dorell Wright\wrighdo01,,11,549,12280,4597,2093,850,.424,.365,.806,22.4,8.4,3.8,1.5,25.9,.101,0.4,7.4
754,20,DEN,Jameer Nelson\nelsoja01,Saint Joseph's University,13,827,23494,9685,2489,4324,.437,.370,.810,28.4,11.7,3.0,5.2,47.6,.097,0.2,13.2
755,21,UTA,Pavel Podkolzin\podkopa01,,2,6,28,4,9,0,.000,,.500,4.7,0.7,1.5,0.0,-0.1,-.163,-18.8,-0.1
756,22,NJN,Viktor Khryapa\khryavi01,,4,143,2351,643,492,142,.443,.292,.658,16.4,4.5,3.4,1.0,2.0,.041,-1.8,0.1
757,23,POR,Sergei Monia\moniase01,,1,26,343,77,52,19,.333,.265,.714,13.2,3.0,2.0,0.7,-0.2,-.025,-5.1,-0.3
758,24,BOS,Delonte West\westde01,Saint Joseph's University,8,432,11842,4198,1265,1540,.448,.372,.826,27.4,9.7,2.9,3.6,24.5,.099,0.5,7.6
759,25,BOS,Tony Allen\allento01,Oklahoma State University,13,794,17708,6518,2820,1062,.474,.281,.711,22.3,8.2,3.6,1.3,38.3,.104,1.1,13.8
760,26,SAC,Kevin Martin\martike02,Western Carolina University,12,714,21559,12396,2278,1352,.437,.384,.870,30.2,17.4,3.2,1.9,61.3,.137,0.1,11.3
761,27,LAL,Sasha Vujacic\vujacsa01,,10,577,8828,3068,1077,733,.391,.367,.863,15.3,5.3,1.9,1.3,15.9,.087,-1.1,2.0
762,28,SAS,Beno Udrih\udrihbe01,,13,828,18127,6929,1706,2840,.463,.348,.833,21.9,8.4,2.1,3.4,31.2,.083,-1.6,1.9
763,29,IND,David Harrison\harrida01,University of Colorado,4,189,2686,949,549,47,.530,,.525,14.2,5.0,2.9,0.2,3.2,.057,-3.4,-1.0
764,30,ORL,Anderson Varejao\varejan01,,13,627,15051,4561,4511,734,.510,.024,.631,24.0,7.3,7.2,1.2,46.4,.148,1.5,13.3
765,31,CHI,Jackson Vroman\vromaja01,Iowa State University,2,87,1111,285,261,51,.408,.000,.580,12.8,3.3,3.0,0.6,0.0,.001,-3.9,-0.5
766,32,WAS,Peter John Ramos\ramospe01,,1,6,20,11,4,0,.500,,.500,3.3,1.8,0.7,0.0,0.0,-.108,-18.3,-0.1
767,33,LAC,Lionel Chalmers\chalmli01,Xavier University,1,36,433,111,31,51,.336,.245,.625,12.0,3.1,0.9,1.4,-0.2,-.025,-6.3,-0.5
768,34,ATL,Donta Smith\smithdo04,Southeastern Illinois College,2,61,560,165,66,48,.421,.308,.650,9.2,2.7,1.1,0.8,0.5,.043,-3.2,-0.2
769,35,SEA,Andre Emmett\emmetan01,Texas Tech University,2,14,73,20,8,1,.462,.000,.615,5.2,1.4,0.6,0.1,0.1,.040,-6.8,-0.1
770,36,ORL,Antonio Burks\burksan01,University of Memphis,2,81,789,186,49,104,.387,.235,.571,9.7,2.3,0.6,1.3,0.1,.004,-6.6,-0.9
771,37,ATL,Royal Ivey\iveyro01,University of Texas at Austin,10,492,6162,1641,557,501,.406,.361,.706,12.5,3.3,1.1,1.0,4.5,.035,-3.8,-2.8
772,38,CHI,Chris Duhon\duhonch01,Duke University,9,606,15526,3946,1364,2690,.393,.363,.784,25.6,6.5,2.3,4.4,25.0,.077,-1.5,2.0
773,39,TOR,Albert Miralles\miralal01,,,,,,,,,,,,,,,,,,
774,40,BOS,Justin Reed\reedju01,University of Mississippi,3,136,1436,472,186,68,.404,.000,.752,10.6,3.5,1.4,0.5,0.5,.016,-5.9,-1.4
775,41,SEA,David Young,North Carolina Central University,,,,,,,,,,,,,,,,,
776,42,ATL,Viktor Sanikidze\sanikvi01,,,,,,,,,,,,,,,,,,
777,43,NYK,Trevor Ariza\arizatr01,University of California Los Angeles,13,871,25392,9104,4196,1837,.426,.352,.717,29.2,10.5,4.8,2.1,52.2,.099,1.7,23.5
778,44,NOH,Tim Pickett,Florida State University,,,,,,,,,,,,,,,,,
779,45,CHA,Bernard Robinson\robinbe01,University of Michigan,3,128,1909,576,315,126,.417,.161,.786,14.9,4.5,2.5,1.0,2.0,.049,-2.0,0.0
780,46,POR,Ha Seung-Jin\seungha01,,2,46,316,70,67,3,.519,,.500,6.9,1.5,1.5,0.1,-0.2,-.029,-8.3,-0.5
781,47,MIA,Pape Sow\sowpa01,California State University Fullerton,3,76,879,219,214,12,.416,,.678,11.6,2.9,2.8,0.2,0.8,.044,-4.8,-0.6
782,48,SAC,Ricky Minard,Morehead State University,,,,,,,,,,,,,,,,,
783,49,MEM,Sergei Lishouk\lishcse01,,,,,,,,,,,,,,,,,,
784,50,DAL,Vassilis Spanoulis\spanova01,,1,31,272,85,22,28,.319,.172,.810,8.8,2.7,0.7,0.9,-0.1,-.010,-6.7,-0.3
785,51,NJN,Christian Drejer,University of Florida,,,,,,,,,,,,,,,,,
786,52,SAS,Romain Sato,Xavier University,,,,,,,,,,,,,,,,,
787,53,MIA,Matt Freije\freijma01,Vanderbilt University,2,42,588,133,85,27,.293,.224,.714,14.0,3.2,2.0,0.6,-0.6,-.047,-6.3,-0.6
788,54,DET,Rickey Paulding,University of Missouri,,,,,,,,,,,,,,,,,
789,55,HOU,Luis Flores\florelu01,Manhattan College,1,16,77,35,3,11,.483,.500,1.000,4.8,2.2,0.2,0.7,0.0,-.020,-9.6,-0.1
790,56,LAL,Marcus Douthit,Providence College,,,,,,,,,,,,,,,,,
791,57,SAS,Sergei Karaulov\karause01,,,,,,,,,,,,,,,,,,
792,58,MIN,Blake Stepp,Gonzaga University,,,,,,,,,,,,,,,,,
793,59,IND,Rashad Wright,University of Georgia,,,,,,,,,,,,,,,,,
794,1,MIL,Andrew Bogut\bogutan01,University of Utah,12,671,19512,6733,5979,1520,.534,.120,.556,29.1,10.0,8.9,2.3,49.9,.123,2.4,21.4
795,2,ATL,Marvin Williams\willima02,University of North Carolina,12,857,24787,9090,4555,1124,.444,.353,.806,28.9,10.6,5.3,1.3,53.9,.104,-0.4,10.0
796,3,UTA,Deron Williams\willide01,University of Illinois at Urbana-Champaign,12,840,28754,13752,2603,6800,.445,.357,.822,34.2,16.4,3.1,8.1,77.5,.129,1.3,23.9
797,4,NOH,Chris Paul\paulch01,Wake Forest University,12,830,29519,15533,3663,8214,.473,.369,.865,35.6,18.7,4.4,9.9,153.7,.250,7.5,71.2
798,5,CHA,Raymond Felton\feltora01,University of North Carolina,12,852,27011,10126,2668,4831,.412,.327,.788,31.7,11.9,3.1,5.7,37.1,.066,-0.5,10.4
799,6,POR,Martell Webster\webstma02,,10,580,13914,5056,1811,588,.418,.382,.791,24.0,8.7,3.1,1.0,24.7,.085,-0.7,4.6
800,7,TOR,Charlie Villanueva\villach01,University of Connecticut,11,656,13578,6808,3019,549,.435,.341,.772,20.7,10.4,4.6,0.8,22.6,.080,-1.8,0.6
801,8,NYK,Channing Frye\fryech01,University of Arizona,11,796,18628,7329,3786,805,.439,.389,.820,23.4,9.2,4.8,1.0,36.7,.095,-0.1,8.9
802,9,GSW,Ike Diogu\dioguik01,Arizona State University,6,225,2795,1348,689,69,.509,.500,.786,12.4,6.0,3.1,0.3,6.5,.112,-4.8,-2.0
803,10,LAL,Andrew Bynum\bynuman01,,8,418,10690,4822,3221,490,.556,.111,.690,25.6,11.5,7.7,1.2,37.4,.168,1.3,9.0
804,11,ORL,Fran Vazquez\vazqufr01,,,,,,,,,,,,,,,,,,
805,12,LAC,Yaroslav Korolev\korolya01,,2,34,168,39,16,13,.283,.250,.625,4.9,1.1,0.5,0.4,-0.1,-.024,-6.4,-0.2
806,13,CHA,Sean May\mayse01,University of North Carolina,4,119,1868,821,481,115,.458,.231,.746,15.7,6.9,4.0,1.0,2.6,.068,-2.4,-0.2
807,14,MIN,Rashad McCants\mccanra01,University of North Carolina,4,249,5037,2479,506,331,.431,.368,.741,20.2,10.0,2.0,1.3,3.6,.035,-2.5,-0.6
808,15,NJN,Antoine Wright\wrighan01,Texas A&M University,6,297,5714,1614,681,295,.412,.304,.674,19.2,5.4,2.3,1.0,3.1,.026,-3.1,-1.5
809,16,TOR,Joey Graham\grahajo01,Oklahoma State University,6,377,6117,2239,1058,207,.483,.300,.815,16.2,5.9,2.8,0.5,7.8,.061,-3.8,-2.8
810,17,IND,Danny Granger\grangda01,University of New Mexico,10,586,18487,9855,2888,1097,.434,.380,.848,31.5,16.8,4.9,1.9,48.5,.126,1.5,16.1
811,18,BOS,Gerald Green\greenge01,,10,541,10588,5220,1319,528,.420,.362,.815,19.6,9.6,2.4,1.0,14.4,.065,-2.4,-1.0
812,19,MEM,Hakim Warrick\warriha01,Syracuse University,8,526,10624,4947,2117,400,.490,.191,.726,20.2,9.4,4.0,0.8,20.4,.092,-3.1,-2.9
813,20,DEN,Julius Hodge\hodgeju01,North Carolina State University,2,23,98,28,15,18,.440,,.500,4.3,1.2,0.7,0.8,0.0,.003,-4.5,-0.1
814,21,PHO,Nate Robinson\robinna01,University of Washington,11,618,13878,6807,1446,1826,.423,.360,.796,22.5,11.0,2.3,3.0,27.8,.096,0.2,7.8
815,22,DEN,Jarrett Jack\jackja01,Georgia Institute of Technology,12,805,22592,8883,2296,3604,.441,.345,.856,28.1,11.0,2.9,4.5,35.7,.076,-1.0,5.7
816,23,SAC,Francisco Garcia\garcifr01,University of Louisville,10,549,11853,4323,1400,747,.427,.357,.799,21.6,7.9,2.6,1.4,18.2,.074,-0.3,4.9
817,24,HOU,Luther Head\headlu01,University of Illinois at Urbana-Champaign,6,348,7797,2842,845,747,.423,.388,.773,22.4,8.2,2.4,2.1,14.7,.090,-0.4,3.2
818,25,SEA,Johan Petro\petrojo01,,8,473,7262,2202,1836,227,.462,.154,.678,15.4,4.7,3.9,0.5,5.5,.037,-4.2,-4.0
819,26,DET,Jason Maxiell\maxieja01,University of Cincinnati,10,618,11379,3481,2576,266,.495,.000,.564,18.4,5.6,4.2,0.4,20.3,.086,-2.0,0.1
820,27,POR,Linas Kleiza\kleizli01,University of Missouri,7,409,8185,3561,1470,321,.435,.335,.763,20.0,8.7,3.6,0.8,13.6,.080,-2.4,-0.9
821,28,SAS,Ian Mahinmi\mahinia01,,9,466,7843,2400,2024,228,.538,.000,.596,16.8,5.2,4.3,0.5,21.2,.130,-0.3,3.4
822,29,MIA,Wayne Simien\simiewa01,University of Kansas,2,51,507,169,99,11,.469,,.854,9.9,3.3,1.9,0.2,0.9,.083,-4.8,-0.4
823,30,NYK,David Lee\leeda02,University of Florida,12,824,24183,11195,7291,1812,.536,.034,.772,29.3,13.6,8.8,2.2,75.7,.150,1.6,22.1
824,31,ATL,Salim Stoudamire\stoudsa01,University of Arizona,3,157,2672,1260,214,164,.407,.366,.882,17.0,8.0,1.4,1.0,2.2,.040,-5.1,-2.1
825,32,LAC,Daniel Ewing\ewingda01,Duke University,2,127,1683,431,158,174,.389,.295,.780,13.3,3.4,1.2,1.4,0.8,.024,-3.7,-0.7
826,33,NOH,Brandon Bass\bassbr01,Louisiana State University,12,755,16384,6556,3442,607,.499,.207,.831,21.7,8.7,4.6,0.8,42.6,.125,-1.1,3.7
827,34,UTA,C.J. Miles\milescj01,,12,711,14843,6971,1739,810,.418,.361,.807,20.9,9.8,2.4,1.1,26.2,.085,-0.9,4.1
828,35,POR,Ricky Sanchez,,,,,,,,,,,,,,,,,,
829,36,MIL,Ersan Ilyasova\ilyaser01,,9,604,14756,6631,3592,703,.442,.368,.769,24.4,11.0,5.9,1.2,37.7,.123,-0.1,7.1
830,37,LAL,Ronny Turiaf\turiaro01,Gonzaga University,10,473,8020,2209,1757,618,.533,.000,.636,17.0,4.7,3.7,1.3,19.2,.115,1.0,6.0
831,38,ORL,Travis Diener\dienetr01,Marquette University,5,179,2660,854,243,432,.388,.353,.847,14.9,4.8,1.4,2.4,5.6,.102,-1.8,0.1
832,39,LAL,Von Wafer\wafervo01,Florida State University,6,200,2475,1054,234,146,.420,.325,.751,12.4,5.3,1.2,0.7,3.3,.064,-3.2,-0.7
833,40,GSW,Monta Ellis\ellismo01,,12,829,28912,14843,2869,3844,.451,.314,.773,34.9,17.9,3.5,4.6,41.9,.070,-0.3,12.3
834,41,TOR,Roko Ukic\ukicro01,,2,85,987,341,78,165,.387,.189,.746,11.6,4.0,0.9,1.9,-0.2,-.007,-5.4,-0.8
835,42,GSW,Chris Taft\taftch01,University of Pittsburgh,1,17,144,47,36,2,.605,,.167,8.5,2.8,2.1,0.1,0.5,.155,-1.3,0.0
836,43,NJN,Mile Ilic\ilicmi01,,1,5,6,0,1,0,.000,,,1.2,0.0,0.2,0.0,-0.2,-1.264,-53.6,-0.1
837,44,ORL,Martynas Andriuskevicius\andrima01,,1,6,9,0,4,0,.000,,,1.5,0.0,0.7,0.0,0.0,.155,0.1,0.0
838,45,PHI,Louis Williams\willilo02,,12,778,18328,9974,1621,2266,.418,.347,.826,23.6,12.8,2.1,2.9,47.6,.125,0.1,9.8
839,46,IND,Erazem Lorbek\lorbeer01,,,,,,,,,,,,,,,,,,
840,47,MIN,Bracey Wright\wrighbr02,Indiana University,2,26,325,129,39,20,.405,.324,.794,12.5,5.0,1.5,0.8,0.5,.068,-3.7,-0.1
841,48,SEA,Mickael Gelabale\gelabmi01,,3,145,2348,670,330,115,.470,.316,.815,16.2,4.6,2.3,0.8,3.0,.062,-1.9,0.0
842,49,WAS,Andray Blatche\blatcan01,,9,564,12462,5706,3024,798,.467,.237,.725,22.1,10.1,5.4,1.4,19.2,.074,-0.3,5.4
843,50,BOS,Ryan Gomes\gomesry01,Providence College,8,487,13463,4926,2239,712,.445,.349,.799,27.6,10.1,4.6,1.5,19.4,.069,-1.3,2.3
844,51,UTA,Robert Whaley\whalero01,Walsh University,1,23,212,49,43,17,.404,,.500,9.2,2.1,1.9,0.7,0.0,.004,-3.5,-0.1
845,52,DEN,Axel Hervelle\herveax01,,,,,,,,,,,,,,,,,,
846,53,BOS,Orien Greene\greenor01,University of Louisiana at Lafayette,4,131,1555,326,195,155,.387,.212,.642,11.9,2.5,1.5,1.2,-0.7,-.022,-3.8,-0.7
847,54,NYK,Dijon Thompson\thompdi01,University of California Los Angeles,2,16,93,45,19,3,.425,.308,.875,5.8,2.8,1.2,0.2,0.2,.102,-4.3,-0.1
848,55,SEA,Lawrence Roberts\roberla01,Mississippi State University,2,87,1150,334,310,35,.452,.000,.688,13.2,3.8,3.6,0.4,2.5,.106,-1.4,0.2
849,56,DET,Amir Johnson\johnsam01,,12,741,16552,5531,4197,887,.574,.337,.673,22.3,7.5,5.7,1.2,49.8,.144,2.6,19.1
850,57,PHO,Marcin Gortat\gortama01,,10,673,17759,6977,5494,691,.555,.150,.679,26.4,10.4,8.2,1.0,54.5,.147,0.8,12.7
851,58,TOR,Uros Slokar\slokaur01,,1,20,72,38,14,1,.538,.500,.692,3.6,1.9,0.7,0.1,0.1,.042,-7.0,-0.1
852,59,ATL,Cenk Akyol\akyolce01,,,,,,,,,,,,,,,,,,
853,60,DET,Alex Acker\ackeral01,Pepperdine University,2,30,234,81,29,16,.370,.320,.500,7.8,2.7,1.0,0.5,-0.2,-.043,-6.9,-0.3
854,1,TOR,Andrea Bargnani\bargnan01,,10,550,15806,7873,2541,653,.439,.354,.824,28.7,14.3,4.6,1.2,18.9,.057,-2.2,-0.9
855,2,CHI,LaMarcus Aldridge\aldrila01,University of Texas at Austin,11,790,27464,15080,6574,1509,.486,.290,.802,34.8,19.1,8.3,1.9,86.4,.151,1.2,22.4
856,3,CHA,Adam Morrison\morriad01,Gonzaga University,3,161,3278,1200,342,222,.373,.331,.710,20.4,7.5,2.1,1.4,-1.4,-.021,-5.5,-2.9
857,4,POR,Tyrus Thomas\thomaty01,Louisiana State University,8,402,7932,3093,1938,347,.438,.235,.732,19.7,7.7,4.8,0.9,13.0,.078,-1.1,1.7
858,5,ATL,Shelden Williams\willish02,Duke University,6,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085,-2.8,-1.2
859,6,MIN,Brandon Roy\roybr01,University of Washington,6,326,11561,6136,1388,1517,.459,.348,.800,35.5,18.8,4.3,4.7,37.4,.155,3.2,15.2
860,7,BOS,Randy Foye\foyera01,Villanova University,11,748,19217,7725,1683,2107,.401,.367,.851,25.7,10.3,2.3,2.8,23.7,.059,-1.3,3.5
861,8,HOU,Rudy Gay\gayru01,University of Connecticut,11,753,26815,13860,4452,1709,.452,.345,.796,35.6,18.4,5.9,2.3,47.4,.085,0.5,16.8
862,9,GSW,Patrick O'Bryant\obryapa01,Bradley University,4,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046,-3.1,-0.2
863,10,SEA,Mouhamed Sene\senesa01,,3,47,260,103,75,1,.427,,.589,5.5,2.2,1.6,0.0,0.3,.052,-9.3,-0.5
864,11,ORL,J.J. Redick\redicjj01,Duke University,11,686,17043,8151,1315,1268,.448,.414,.887,24.8,11.9,1.9,1.8,46.0,.129,0.1,9.0
865,12,NOK,Hilton Armstrong\armsthi01,University of Connecticut,6,292,3378,880,766,102,.501,.286,.582,11.6,3.0,2.6,0.3,3.9,.055,-2.8,-0.7
866,13,PHI,Thabo Sefolosha\sefolth01,,11,738,17171,4396,2868,1110,.447,.346,.732,23.3,6.0,3.9,1.5,34.6,.097,1.1,13.3
867,14,UTA,Ronnie Brewer\brewero02,University of Arkansas,8,502,11539,3940,1427,828,.490,.254,.675,23.0,7.8,2.8,1.6,30.4,.127,1.7,10.7
868,15,NOK,Cedric Simmons\simmoce01,North Carolina State University,3,75,705,163,141,14,.409,,.390,9.4,2.2,1.9,0.2,0.1,.005,-5.7,-0.7
869,16,CHI,Rodney Carney\carnero01,University of Memphis,5,299,4600,1778,588,132,.422,.338,.704,15.4,5.9,2.0,0.4,6.2,.064,-2.7,-0.8
870,17,IND,Shawne Williams\willish03,University of Memphis,7,314,5368,1769,945,220,.403,.339,.755,17.1,5.6,3.0,0.7,6.7,.060,-2.0,0.0
871,18,WAS,Oleksiy Pecherov\pecheol01,,3,111,1044,438,266,20,.386,.290,.793,9.4,3.9,2.4,0.2,0.5,.025,-7.0,-1.3
872,19,SAC,Quincy Douby\doubyqu01,Rutgers University,3,143,1535,588,152,93,.389,.312,.884,10.7,4.1,1.1,0.7,0.0,.000,-5.4,-1.3
873,20,NYK,Renaldo Balkman\balkmre01,University of South Carolina,6,221,3064,894,769,132,.510,.172,.542,13.9,4.0,3.5,0.6,7.2,.113,0.9,2.2
874,21,PHO,Rajon Rondo\rondora01,University of Kentucky,11,713,23025,7596,3477,6069,.463,.302,.606,32.3,10.7,4.9,8.5,53.1,.111,1.8,21.9
875,22,NJN,Marcus Williams\willima03,University of Connecticut,4,203,3095,1128,361,574,.386,.321,.767,15.2,5.6,1.8,2.8,0.0,-.001,-4.6,-2.0
876,23,NJN,Josh Boone\boonejo01,University of Connecticut,4,256,4482,1340,1258,125,.544,,.445,17.5,5.2,4.9,0.5,9.1,.097,-1.9,0.1
877,24,MEM,Kyle Lowry\lowryky01,Villanova University,11,709,21925,10093,2888,4092,.424,.365,.799,30.9,14.2,4.1,5.8,69.4,.152,3.6,31.1
878,25,CLE,Shannon Brown\brownsh01,Michigan State University,9,408,7329,3118,760,458,.420,.332,.807,18.0,7.6,1.9,1.1,9.2,.060,-2.3,-0.6
879,26,LAL,Jordan Farmar\farmajo01,University of California Los Angeles,10,504,9840,3888,958,1453,.423,.374,.739,19.5,7.7,1.9,2.9,13.9,.068,-1.4,1.6
880,27,PHO,Sergio Rodriguez\rodrise01,,5,353,5281,1747,525,1183,.409,.337,.739,15.0,4.9,1.5,3.4,4.3,.039,-3.2,-1.6
881,28,DAL,Maurice Ager\agerma01,Michigan State University,4,82,505,169,46,19,.339,.250,.566,6.2,2.1,0.6,0.2,-0.9,-.089,-10.4,-1.1
882,29,NYK,Mardy Collins\collima01,Temple University,4,189,2771,742,336,327,.380,.299,.599,14.7,3.9,1.8,1.7,-1.6,-.027,-4.9,-2.0
883,30,POR,Joel Freeland\freeljo01,,3,151,1821,477,518,65,.459,.000,.728,12.1,3.2,3.4,0.4,3.2,.084,-2.5,-0.2
884,31,POR,James White\whiteja02,University of Cincinnati,3,67,583,182,68,35,.438,.340,.676,8.7,2.7,1.0,0.5,0.8,.062,-3.4,-0.2
885,32,HOU,Steve Novak\novakst01,Marquette University,11,467,5657,2177,591,132,.437,.430,.877,12.1,4.7,1.3,0.3,14.5,.123,-0.9,1.6
886,33,ATL,Solomon Jones\jonesso01,University of South Florida,8,281,3092,839,654,99,.467,.111,.717,11.0,3.0,2.3,0.4,5.0,.078,-2.9,-0.7
887,34,LAC,Paul Davis\davispa01,Michigan State University,4,82,702,217,158,32,.402,.000,.732,8.6,2.6,1.9,0.4,0.5,.035,-4.7,-0.5
888,35,TOR,P.J. Tucker\tuckepj01,University of Texas at Austin,6,414,11554,3184,2369,648,.433,.349,.750,27.9,7.7,5.7,1.6,20.9,.087,0.9,8.6
889,36,MIN,Craig Smith\smithcr01,Boston College,6,403,6826,3080,1567,322,.553,.037,.661,16.9,7.6,3.9,0.8,16.0,.113,-1.5,0.9
890,37,MIN,Bobby Jones\jonesbo02,University of Washington,2,91,867,288,149,44,.442,.306,.685,9.5,3.2,1.6,0.5,1.1,.060,-3.5,-0.3
891,38,GSW,Kosta Perovic\perovko01,,1,7,38,10,13,1,.300,,.667,5.4,1.4,1.9,0.1,0.0,.060,-6.7,0.0
892,39,MIL,David Noel\noelda01,University of North Carolina,1,68,792,184,123,65,.367,.321,.860,11.6,2.7,1.8,1.0,0.4,.024,-3.4,-0.3
893,40,SEA,Denham Brown,University of Connecticut,,,,,,,,,,,,,,,,,
894,41,ORL,James Augustine\augusja01,University of Illinois at Urbana-Champaign,2,27,156,42,33,4,.514,,.500,5.8,1.6,1.2,0.1,0.3,.101,-2.2,0.0
895,42,CLE,Daniel Gibson\gibsoda01,University of Texas at Austin,7,397,9316,3115,792,775,.402,.407,.780,23.5,7.8,2.0,2.0,16.0,.082,-1.0,2.3
896,43,NOK,Marcus Vinicius\vincima01,,2,26,172,50,19,7,.457,.421,.556,6.6,1.9,0.7,0.3,0.2,.056,-3.6,-0.1
897,44,ORL,Lior Eliyahu\eliyali01,,,,,,,,,,,,,,,,,,
898,45,IND,Alexander Johnson\johnsal01,Florida State University,2,102,1302,439,275,30,.517,,.672,12.8,4.3,2.7,0.3,1.5,.056,-4.3,-0.7
899,46,UTA,Dee Brown\brownde03,University of Illinois at Urbana-Champaign,2,68,711,140,69,119,.340,.250,.643,10.5,2.1,1.0,1.8,0.1,.008,-4.1,-0.4
900,47,UTA,Paul Millsap\millspa01,Louisiana Tech University,11,834,24595,11832,6227,1916,.493,.329,.735,29.5,14.2,7.5,2.3,79.3,.155,3.4,33.4
901,48,WAS,Vladimir Veremeenko\veremvl01,,,,,,,,,,,,,,,,,,
902,49,DEN,Leon Powe\powele01,University of California,5,239,3320,1484,911,78,.515,.000,.682,13.9,6.2,3.8,0.3,12.0,.174,-2.3,-0.2
903,50,CHA,Ryan Hollins\holliry01,University of California Los Angeles,10,518,6134,1913,1140,151,.584,.000,.649,11.8,3.7,2.2,0.3,10.4,.081,-2.6,-1.0
904,51,LAL,Cheikh Samb\sambch01,,2,22,114,22,31,1,.250,.000,.444,5.2,1.0,1.4,0.0,-0.1,-.056,-9.2,-0.2
905,52,LAC,Guillermo Diaz\diazgu01,University of Miami,1,6,18,5,2,1,.250,.000,.600,3.0,0.8,0.3,0.2,0.0,.033,-5.9,0.0
906,53,SEA,Yotam Halperin\halpeyo01,,,,,,,,,,,,,,,,,,
907,54,NJN,Hassan Adams\adamsha01,University of Arizona,2,73,547,185,84,14,.534,.000,.643,7.5,2.5,1.2,0.2,0.8,.072,-4.4,-0.3
908,55,CLE,Ejike Ugboaja\ugboaej01,,,,,,,,,,,,,,,,,,
909,56,TOR,Edin Bavcic\bavcied01,,,,,,,,,,,,,,,,,,
910,57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,
911,58,DAL,J.R. Pinnock,George Washington University,,,,,,,,,,,,,,,,,
912,59,SAS,Damir Markota\markoda01,,1,30,170,51,31,6,.365,.375,.636,5.7,1.7,1.0,0.2,-0.2,-.070,-9.0,-0.3
913,60,DET,Will Blalock\blalowi01,Iowa State University,1,14,166,25,15,17,.300,.200,1.000,11.9,1.8,1.1,1.2,-0.1,-.032,-5.7,-0.2
914,1,POR,Greg Oden\odengr01,Ohio State University,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,1.1,1.6
915,2,SEA,Kevin Durant\duranke01,University of Texas at Austin,10,700,26188,19060,5003,2647,.487,.380,.882,37.4,27.2,7.1,3.8,119.3,.219,5.1,46.8
916,3,ATL,Al Horford\horfoal01,University of Florida,10,641,21393,9177,5578,1907,.529,.347,.747,33.4,14.3,8.7,3.0,70.1,.157,3.0,27.2
917,4,MEM,Mike Conley\conlemi01,Ohio State University,10,703,22910,9989,2055,3999,.442,.378,.815,32.6,14.2,2.9,5.7,62.2,.130,1.9,22.3
918,5,BOS,Jeff Green\greenje02,Georgetown University,9,705,21894,9528,3318,1134,.435,.333,.792,31.1,13.5,4.7,1.6,32.8,.072,-1.3,4.0
919,6,MIL,Yi Jianlian\jianlyi01,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.7,-4.1
920,7,MIN,Corey Brewer\breweco01,University of Florida,10,706,16938,6533,2039,1129,.424,.283,.713,24.0,9.3,2.9,1.6,19.2,.054,-1.0,4.1
921,8,CHA,Brandan Wright\wrighbr03,University of North Carolina,9,396,6512,2824,1455,181,.608,.000,.675,16.4,7.1,3.7,0.5,24.7,.182,1.6,6.0
922,9,CHI,Joakim Noah\noahjo01,University of Florida,10,618,17863,5557,5788,1807,.490,.000,.699,28.9,9.0,9.4,2.9,59.6,.160,4.2,27.8
923,10,SAC,Spencer Hawes\hawessp01,University of Washington,10,681,15508,5907,3882,1268,.457,.350,.715,22.8,8.7,5.7,1.9,22.5,.069,-0.7,4.9
924,11,ATL,Acie Law\lawac01,Texas A&M University,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-5.4,-2.0
925,12,PHI,Thaddeus Young\youngth01,Georgia Institute of Technology,10,735,22458,10010,4334,1125,.499,.328,.680,30.6,13.6,5.9,1.5,46.7,.100,0.4,13.4
926,13,NOK,Julian Wright\wrighju01,University of Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-1.3,0.5
927,14,LAC,Al Thornton\thornal01,Florida State University,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.1
928,15,DET,Rodney Stuckey\stuckro01,Eastern Washington University,10,651,17890,8185,1912,2333,.423,.300,.824,27.5,12.6,2.9,3.6,28.6,.077,-1.4,2.7
