,Pick,Team,Name,College,Seasons,Games,Minutes Played,Points,Total Rebounds,Assists,FG%,3P%,FT%,MPG,PPG,TRPG,APG,Win Share,Win Share/48,Box +/-,VORP
344,13,CLE,Derek Anderson\anderde01,University of Kentucky,11,615,17975,7357,1988,2083,.408,.341,.853,29.2,12.0,3.2,3.4,43.9,.117,0.9,13.3
345,14,LAC,Maurice Taylor\tayloma01,University of Michigan,9,534,13324,5889,2452,623,.466,.152,.711,25.0,11.0,4.6,1.2,9.9,.036,-3.8,-5.9
346,15,DAL,Kelvin Cato\catoke01,Iowa State University,10,541,10617,2960,2874,244,.507,.077,.644,19.6,5.5,5.3,0.5,28.6,.129,-0.3,4.6
347,16,CLE,Brevin Knight\knighbr01,Stanford University,12,729,18176,5342,1785,4481,.412,.134,.789,24.9,7.3,2.4,6.1,32.6,.086,-1.1,4.3
348,17,ORL,Johnny Taylor\taylojo01,University of Tennessee at Chattanooga,3,54,866,256,120,26,.402,.394,.718,16.0,4.7,2.2,0.5,0.1,.007,-3.5,-0.3
349,18,POR,Chris Anstey\anstech01,,3,155,2157,813,534,127,.413,.138,.755,13.9,5.2,3.4,0.8,2.8,.062,-2.8,-0.4
350,19,DET,Scot Pollard\pollasc01,University of Kansas,11,506,8372,2222,2351,220,.494,.000,.709,16.5,4.4,4.6,0.4,26.6,.153,0.6,5.5
351,20,MIN,Paul Grant\grantpa01,University of Wisconsin,2,16,111,29,18,3,.448,,.375,6.9,1.8,1.1,0.2,-0.1,-.043,-7.8,-0.2
352,21,NJN,Anthony Parker\parkean01,Bradley University,9,494,13752,4478,1574,1129,.444,.404,.794,27.8,9.1,3.2,2.3,24.5,.085,0.6,9.1
353,22,ATL,Ed Gray\grayed01,University of California,2,60,809,373,73,46,.339,.341,.814,13.5,6.2,1.2,0.8,0.1,.009,-6.2,-0.9
354,23,SEA,Bobby Jackson\jacksbo01,University of Minnesota,12,755,16790,7344,2347,1945,.417,.354,.793,22.2,9.7,3.1,2.6,31.4,.090,-0.1,7.8
355,24,HOU,Rodrick Rhodes\rhodero01,University of Southern California,3,72,1234,380,88,121,.347,.200,.620,17.1,5.3,1.2,1.7,-1.6,-.064,-6.6,-1.4
356,25,NYK,John Thomas\thomajo02,University of Minnesota,5,208,2253,560,432,60,.502,.000,.591,10.8,2.7,2.1,0.3,3.2,.067,-3.3,-0.7
357,26,MIA,Charles Smith\smithch04,University of New Mexico,5,142,1973,729,200,124,.409,.288,.606,13.9,5.1,1.4,0.9,1.5,.036,-1.7,0.2
358,27,UTA,Jacque Vaughn\vaughja01,University of Kansas,12,776,12658,3463,1028,1919,.429,.352,.779,16.3,4.5,1.3,2.5,15.4,.058,-4.2,-7.1
359,28,CHI,Keith Booth\boothke01,University of Maryland,2,45,449,130,97,39,.325,.091,.563,10.0,2.9,2.2,0.9,-0.8,-.080,-6.2,-0.5
360,29,HOU,Serge Zwikker,University of North Carolina,,,,,,,,,,,,,,,,,
361,30,MIA,Mark Sanford,University of Washington,,,,,,,,,,,,,,,,,
362,31,DET,Charles O'Bannon\obannch01,University of California Los Angeles,2,48,399,120,67,29,.400,.000,.870,8.3,2.5,1.4,0.6,0.6,.070,-2.8,-0.1
363,32,DEN,James Cotton\cottoja02,California State University Long Beach,2,19,92,49,16,0,.359,.000,.778,4.8,2.6,0.8,0.0,0.0,.008,-14.7,-0.3
364,33,PHI,Marko Milic\milicma01,,2,44,216,108,30,14,.560,.429,.647,4.9,2.5,0.7,0.3,0.2,.047,-2.5,0.0
365,34,DAL,Bubba Wells\wellsbu01,Austin Peay State University,1,39,395,128,68,34,.414,.167,.721,10.1,3.3,1.7,0.9,0.1,.013,-5.0,-0.3
366,35,PHI,Kebu Stewart\stewake01,California State University Bakersfield,1,15,110,40,31,2,.462,,.640,7.3,2.7,2.1,0.1,0.2,.098,-5.5,-0.1
